Year,Biomass,Coal,Crude Oil,Geothermal,Hydroelectric,Natgas (dry production),Nuclear,Solar,Wind,GDP
1970,1.430962,14.607064,20.40121,0.005511,2.633547,21.66567,0.239347,N/A,N/A,4.71E+12
1971,1.432323,13.185523,20.032701,0.005739,2.824151,22.279791,0.412939,N/A,N/A,4.91E+12
1972,1.503065,14.091685,20.041134,0.015079,2.863865,22.207545,0.583752,N/A,N/A,5.25E+12
1973,1.529068,13.992126,19.493237,0.020422,2.861448,22.187349,0.910177,N/A,N/A,5.46E+12
1974,1.539662,14.074451,18.574993,0.02561,3.17658,21.210145,1.272083,N/A,N/A,5.36E+12
1975,1.498734,14.989315,17.729318,0.03378,3.154607,19.640343,1.899798,N/A,N/A,5.49E+12
1976,1.713373,15.653687,17.261844,0.037513,2.976265,19.480319,2.111121,N/A,N/A,5.73E+12
1977,1.838332,15.754741,17.453737,0.037382,2.333252,19.565321,2.701762,N/A,N/A,6.02E+12
1978,2.037605,14.909809,18.433653,0.030851,2.936983,19.485219,3.024126,N/A,N/A,6.42E+12
1979,2.151906,17.539583,18.103598,0.040262,2.930686,20.076347,2.775827,N/A,N/A,6.50E+12
1980,2.4755,18.597726,18.248917,0.052699,2.900144,19.9076,2.739169,N/A,N/A,6.50E+12
1981,2.596283,18.376773,18.146019,0.059437,2.757968,19.699155,3.007589,N/A,N/A,6.59E+12
1982,2.663452,18.638773,18.308947,0.050627,3.265558,18.319025,3.131148,N/A,N/A,6.49E+12
1983,2.904414,17.246671,18.391794,0.06391,3.52726,16.593389,3.202549,N/A,0.000028,7.00E+12
1984,2.97112,19.719216,18.848237,0.080811,3.385811,18.007933,3.552531,0.000055,0.000068,7.40E+12
1985,3.016233,19.325166,18.992407,0.097421,2.970192,16.98038,4.075563,0.000111,0.00006,7.71E+12
1986,2.932095,19.509466,18.375862,0.107677,3.071179,16.540801,4.380109,0.000147,0.000044,7.94E+12
1987,2.874884,20.141104,17.674787,0.11227,2.634508,17.135819,4.753933,0.000109,0.000037,8.29E+12
1988,3.016049,20.737639,17.278931,0.106338,2.334265,17.598597,5.586968,0.000094,0.000009,8.61E+12
1989,3.159357,21.360178,16.116883,0.161539,2.837263,17.847275,5.602161,0.05441,0.022033,8.85E+12
1990,2.735112,22.487548,15.571185,0.170747,3.046391,18.326155,6.10435,0.058704,0.029007,8.91E+12
1991,2.781797,21.636424,15.700826,0.177626,3.015943,18.228736,6.422132,0.061551,0.030796,9.02E+12
1992,2.931678,21.694132,15.222863,0.178699,2.617436,18.3751,6.479206,0.062802,0.029863,9.41E+12
1993,2.908446,20.335654,14.49439,0.185673,2.891613,18.584037,6.410499,0.065104,0.030987,9.65E+12
1994,3.027534,22.202083,14.102563,0.173464,2.683457,19.348013,6.693877,0.067031,0.03556,1.01E+13
1995,3.099082,22.12955,13.886757,0.152057,3.205307,19.082245,7.075436,0.068123,0.03263,1.03E+13
1996,3.155301,22.790148,13.722899,0.163359,3.589656,19.344268,7.086674,0.069008,0.03344,1.07E+13
1997,3.107908,23.309614,13.65802,0.166698,3.640458,19.393851,6.596992,0.068027,0.033581,1.12E+13
1998,2.92893,24.045198,13.23513,0.16845,3.297054,19.613295,7.067809,0.067292,0.030853,1.18E+13
1999,2.965132,23.295084,12.451046,0.170921,3.267575,19.340703,7.610256,0.065882,0.045894,1.23E+13
2000,3.005661,22.735478,12.358101,0.164364,2.811116,19.661529,7.862349,0.063262,0.057057,1.27E+13
2001,2.624162,23.54708,12.281566,0.164461,2.241858,20.165567,8.028853,0.06142,0.069617,1.27E+13
2002,2.705406,22.732237,12.160213,0.171164,2.689017,19.382055,8.145429,0.059683,0.105334,1.30E+13
2003,2.804778,22.093652,11.959568,0.173445,2.792539,19.633304,7.959622,0.058087,0.113273,1.35E+13
2004,2.996017,22.852099,11.550086,0.178147,2.688468,19.074254,8.222774,0.057953,0.141664,1.40E+13
2005,3.101186,23.185189,10.974152,0.180703,2.702942,18.556015,8.16081,0.05726,0.178088,1.44E+13
2006,3.211515,23.78951,10.766775,0.1812,2.869035,19.021706,8.214626,0.059839,0.263738,1.47E+13
2007,3.47208,23.492742,10.747344,0.185774,2.446389,19.786209,8.458589,0.064332,0.340503,1.50E+13
2008,3.86825,23.851368,10.61391,0.192433,2.511108,20.702884,8.426491,0.072142,0.545548,1.46E+13
2009,3.952617,21.623721,11.332374,0.200185,2.668824,21.13945,8.35522,0.075429,0.721129,1.45E+13
2010,4.316479,22.038226,11.591022,0.207979,2.538541,21.805763,8.434433,0.086909,0.923427,1.49E+13
2011,4.501348,22.221407,11.952314,0.212311,3.102852,23.40572,8.268698,0.105285,1.167636,1.52E+13
2012,4.405757,20.676893,13.769991,0.211592,2.628702,24.610065,8.061822,0.14811,1.340059,1.54E+13
2013,4.646919,20.001304,15.80886,0.214006,2.562382,24.859072,8.244433,0.212775,1.601359,1.58E+13
2014,4.8489,20.285705,18.552425,0.21449,2.466577,26.718073,8.337559,0.321174,1.727542,1.62E+13
2015,4.715611,17.952726,19.687846,0.224066,2.388612,27.952466,8.33768,0.430889,1.815716,1.65E+13
